semaine \ age;0;1-10;11-20;21-30;31-40;41-50;51-60;61-70;71-80;81-90;90+
2019-01-01;90;2;5;10;16;43;109;216;463;1485;4575
2019-01-08;79;2;4;10;16;40;97;211;469;1614;4886
2019-01-15;77;3;4;8;19;38;101;218;473;1548;4779
2019-01-22;86;2;3;7;16;41;108;226;468;1679;4998
2019-01-29;77;2;4;10;16;42;103;224;491;1650;5074
2019-02-05;80;3;6;10;18;36;98;215;504;1680;5245
2019-02-12;88;2;5;9;17;40;105;218;480;1601;4959
2019-02-19;98;3;4;8;16;40;94;218;478;1596;5030
2019-02-26;59;3;4;8;16;37;98;215;453;1528;4811
2019-03-05;69;3;4;8;17;38;93;219;428;1442;4467
2019-03-12;81;2;3;9;17;36;87;205;434;1351;4115
2019-03-19;74;3;4;11;16;40;88;188;428;1356;3903
2019-03-26;70;3;3;8;18;39;90;185;427;1339;3857
2019-04-02;84;2;3;10;15;35;94;197;414;1339;3956
2019-04-09;76;3;4;9;16;35;81;191;413;1264;3796
2019-04-16;74;3;4;9;16;35;88;187;407;1349;3949
2019-04-23;70;1;3;11;17;39;89;194;398;1294;3867
2019-04-30;90;3;4;11;16;36;88;187;393;1276;3832
2019-05-07;84;2;3;8;17;37;87;186;415;1261;3612
2019-05-14;72;2;4;10;17;36;87;189;417;1275;3793
2019-05-21;98;2;4;9;16;37;86;195;404;1223;3545
2019-05-28;65;2;5;10;13;35;89;184;387;1201;3609
2019-06-04;87;1;3;8;15;37;86;183;394;1165;3272
2019-06-11;90;2;4;9;18;37;97;197;373;1159;3539
2019-06-18;76;2;4;8;15;38;92;189;400;1184;3398
2019-06-25;84;3;7;11;20;37;91;206;414;1277;3684
2019-07-02;58;3;5;11;14;36;89;200;392;1178;3517
2019-07-09;93;3;3;10;16;38;89;183;396;1164;3279
2019-07-16;83;2;4;10;16;40;93;191;402;1191;3402
2019-07-23;87;2;4;11;16;39;91;196;418;1290;3835
2019-07-30;95;2;4;8;15;37;86;184;374;1156;3451
2019-08-06;84;2;4;10;16;33;94;181;384;1182;3384
2019-08-13;86;2;4;7;15;37;80;183;377;1131;3364
2019-08-20;100;3;4;9;16;41;84;179;385;1199;3599
2019-08-27;74;3;3;14;16;36;88;185;388;1234;3707
2019-09-03;72;3;3;8;17;32;81;184;380;1170;3407
2019-09-10;74;3;5;12;18;37;87;186;391;1203;3660
2019-09-17;87;2;4;9;18;38;83;184;406;1246;3697
2019-09-24;69;3;4;8;14;32;87;187;405;1208;3592
2019-10-01;66;3;4;7;15;34;87;190;427;1233;3861
2019-10-08;66;2;5;9;15;41;87;197;419;1239;3966
2019-10-15;90;3;3;9;14;33;90;186;420;1266;3941
2019-10-22;81;4;4;10;14;38;88;191;415;1278;3921
2019-10-29;59;2;4;9;16;35;89;190;427;1314;4180
2019-11-05;70;2;3;10;15;36;92;190;432;1290;4055
2019-11-12;100;1;3;9;18;36;89;196;447;1360;4387
2019-11-19;63;2;3;9;18;39;84;196;444;1432;4444
2019-11-26;84;3;4;9;14;39;89;205;428;1370;4416
2019-12-03;70;3;4;8;16;35;86;202;449;1387;4273
2019-12-10;90;3;4;9;13;36;97;198;440;1415;4398
2019-12-17;73;2;4;8;14;37;100;203;452;1443;4526
2019-12-24;79;3;3;8;18;35;94;209;446;1438;4322
2020-01-01;62;3;4;11;15;42;98;225;428;1530;4411
2020-01-08;81;2;5;8;15;41;91;205;466;1485;4575
2020-01-15;65;2;4;9;13;37;99;205;431;1438;4336
2020-01-22;79;2;3;11;13;34;97;199;434;1442;4363
2020-01-29;69;3;5;9;17;42;93;206;433;1456;4379
2020-02-05;79;3;5;8;14;37;99;200;422;1398;4331
2020-02-12;92;2;4;10;18;41;88;193;445;1394;4285
2020-02-19;79;2;5;11;13;34;96;202;410;1328;3943
2020-02-26;75;2;4;11;16;37;100;198;422;1403;4097
2020-03-04;69;2;3;8;17;38;96;212;435;1395;4119
2020-03-11;75;2;3;12;16;37;92;207;476;1525;4323
2020-03-18;75;2;3;10;16;38;98;237;539;1677;4645
2020-03-25;62;2;1;8;18;45;115;262;642;2103;5741
2020-04-01;42;3;4;8;17;45;112;265;647;2369;6656
2020-04-08;81;2;4;9;19;40;105;243;578;2046;6231
2020-04-15;65;2;3;8;14;35;92;219;502;1743;5358
2020-04-22;72;1;3;6;15;33;91;206;438;1444;4371
2020-04-29;62;2;3;8;14;37;84;187;409;1268;3804
2020-05-06;74;1;2;7;12;34;88;187;398;1194;3711
2020-05-13;89;1;4;10;16;38;90;191;410;1174;3691
2020-05-20;68;2;5;9;15;38;94;191;397;1203;3568
2020-05-27;88;3;4;9;15;38;89;181;388;1160;3385
2020-06-03;75;2;4;9;16;34;84;179;380;1146;3334
2020-06-10;65;2;4;9;18;39;88;197;375;1163;3320
2020-06-17;86;1;3;8;14;36;87;178;385;1225;3454
2020-06-24;82;2;5;9;16;40;86;192;389;1207;3468
2020-07-01;65;2;5;7;20;36;86;193;372;1120;3106
2020-07-08;75;2;4;10;13;35;91;180;388;1137;3330
2020-07-15;79;2;5;9;15;36;85;186;386;1134;3195
2020-07-22;85;3;5;9;15;35;93;185;385;1165;3506
2020-07-29;65;3;5;12;15;35;84;188;400;1192;3501
2020-08-05;76;4;5;11;16;39;92;204;427;1253;3693
2020-08-12;72;2;4;9;15;40;89;197;418;1270;3641
2020-08-19;69;2;4;11;14;38;86;186;385;1162;3491
2020-08-26;59;1;3;7;16;36;85;189;410;1155;3315
2020-09-02;74;2;3;10;15;38;83;196;400;1223;3448
2020-09-09;76;2;4;10;18;42;96;195;403;1316;3853
2020-09-16;57;2;3;8;14;39;93;192;425;1296;3981
2020-09-23;72;1;5;9;17;36;88;190;420;1216;3691
2020-09-30;75;2;3;10;16;34;93;200;447;1349;4082
2020-10-07;65;2;3;8;16;40;89;202;436;1350;3914
2020-10-14;89;1;4;6;15;35;93;209;458;1436;4272
2020-10-21;64;2;5;8;15;39;93;222;507;1659;4796
2020-10-28;67;2;3;9;15;36;95;223;549;1844;5282
2020-11-04;72;2;4;8;13;39;98;238;558;1920;5567
